대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL),
,,,,장애생활안정지원_3,장애생활안정지원 센터에 대해 알려줘,"수화통역센터에 대해 알려줘
시각장애인 심부름센터에 대해 알려줘
장애인편의시설 지원센터에 대해 알려줘
중증장애인 자립생활지원센터에 대해 알려줘","[수화통역센터]
-센터 소재지의 인근 지역 등록 청각 · 언어장애인
-의사소통에 지장이 있는 청각 · 언어장애인에 대한 수화통역 및 상담서비스 제공

[시각장애인 심부름센터]
-이동에 상당한 제약이 있는 장애인에게 차량운행을 통한 직장 출 · 퇴근 및 외출 보조 기타 이동서비스를 제공
-이동에 제약이 있는 장애인에게 차량운행을 통하여 민원업무보조, 시장보기 및 병원 이용보조 등 서비스 제공

[장애인편의시설 지원센터]
-장애인 등을 위해 편의시설에 대한 사회적 이해 촉진과 그 설치에 필요한 기술지원과 상담 및 홍보 · 교육 등 편의증진 도모
-장애인편의시설 설치 실태조사 및 편의시설 설치에 필요한 기술개발 및 도입

[중증장애인자립생활지원센터]
-중증장애인을 대상으로 포괄적인 자립생활 정보제공, 권익옹호 활동, 동료상담, 자립생활기술 훈련, 활동보조서비스 제공
-지역시민단체와 연대활동을 통해 장애인에 대한 이해촉진 및 장애 · 비장애 소통 활성화 도모",https://www.brcn.go.kr/welfare/sub06_05.do,
,,,,장애생활안정지원_장애인복지시설현황,장애인 복지시설 현황에 대해 알려줘,"장애인 복지시설 문의 번호 알고싶어요
보령시내 장애인 복지 시설
장애인 시설
장애인 생활시설 알려줘
장애인 재활시설
장애인 의료 재활 시설
장애인 직업 재활 시설 ","[장애인복지시설 현황]
-장애인생활시설 : 충남정심원, 정심요양원, 이야기마을
-지역사회재활시설 : 충남서부장애인종합복지관, 정심체육관, 보령시장애인심부름센터, 보령시수화통역센터, 보령중증장애인자립생활지원센터, 충남장애인 사랑의원, 충남서부장애인종합복지관 주간보호시설, 충남서부장애인종합복지관 공동생활가정
-장애인의료재활시설 : 충남장애인 사랑의원
-장애인직업재활시설 : 정심작업장, 보령시장애인보호작업장

[참고사항]
-충남정심원
종류 : 지적장애인시설
종사자수: 106명
입소정원 : 270명
<LINK>
충남정심원
www.jeongsim.or.kr
장애인 생활시설 충남정심원 홈페이지

-정심요양원
종류 : 중증장애인요양시설
종사자수 : 26명
입소정원 : 42명
<LINK>
정심요양원
www.jeongsim.or.kr
장애인 생활시설 정심요양원

-이야기마을
종류 : 지적장애인시설
종사자수 : 15명
입소정원 : 30명
<LINK>
이야기마을
www.pis0691.org
장애인 생활시설 이야기마을",https://www.brcn.go.kr/welfare/sub06_06.do,
,,,,장애인일자리_사업목적,장애인일자리 사업목적은뭐에요?,장애인일자리 사업에 대해 설명해주세요,"[사업목적]
-취업 취약계층인 장애인에게 일자리 제공을 통한 사회참여 확대 및 소득보장 지원
-장애 유형별 맞춤형 신규 일자리 발굴 및 보급을 통한 장애인일자리 확대
-근로연계를 통한 장애인복지 실현 및 자립생활 활성화

[일자리 종류]
-일반형일자리
-참여형일자리",,
,,,,장애인일자리_일반형일자리,장애인 일자리 일반형 일자리에 대해 알려줘,"장애인 일반형 일자리 사업대상에 대해 알려줘
일반형 일자리 사업대상은?
일반형 일자리 사업유형은?
","[일반형 일자리]
사업대상 : 만 18세 이상 장애인복지법상 등록장애인

[근로조건 및 보수]
-주 5일 (40시간)
-1일 8시간
-월 1,167,000원

[참여인원]
16명 (2015년 현재)

[사업유형 및 주요 직무]
-복지 및 일반행정 지원, 장애인일자리사업 전담 인력
-장애인복지 및 사회복지 서비스 전담 지원",,
,,,,장애인일자리_참여형일자리,장애인 일자리 참여형 일자리에 대해 알려줘,"장애인 일자리 참여형 일자리 사업대상은?
장애인 일자리 근로조건 및 보수는?
장애인 일자리 사업유형은?","[참여형 일자리]
사업대상 : 만 18세 이상 장애인복지법상 등록장애인

[근로조건 및 보수]
-주 14시간 이내 (월 56시간)
-월 313,000원

[참여인원]
52명 (2015년 현재)

[사업유형 및 주요 직무]
-참여자의 흥미와 직업능력을 반영한 맞춤형 직무수행",https://www.brcn.go.kr/kor/sub05_04_08_01.do,
,,,,장애인단체,장애인 단체 현황을 알려줘,장애인 단체 종류 알려줘,"[장애인 단체]
보령시 내 장애인 단체는 다음과 같습니다.
**표**
단체명	대표자	주소	활동내용	연락처	비고
충남지체장애인협회
보령시지회	김혁연	대천동 618-9 (1층)	지체장애인 상담 및 행사,
사회활동지원	041-933-3517
충남농아인협회
보령시지부	박희철	대천동 618-9 (3층)	농아장애인 상담 및 행사,
사회활동지원	041-936-8005
충남시각장애인연합회
보령시지회	최병분	동대동 1251	시각장애인 상담 및 행사
사회활동지원	041-936-0707
충남신체장애인복지회
보령시지부	고현주	대천동 167-14	신체장애인 상담 및 행사
사회활동지원	041-931-8222
충남중증장애인자립
생활협회	김진현	동대동 882-3
인승빌딩 1층	중증장애인 상담 및 행사
사회활동지원	041-936-4788
충남장애인부모회
보령지회	김희근	대천동 618-34
시티타워2-04호	장애인자녀 부모간 상담 및
사회활동지원	041-932-9559
한국장애인문화협회
보령시지부	공 석	청라면 장산리 608	장애인 문화교류지원	041-932-2214
수레바퀴재활문화진흥회
보령시지회	장주봉	보령시 웅천읍 장터중앙길61 2층	척수 장애인 상담및 행사, 교육, 문화활동 지원, 사회활동지원	041-934-2662
**",,
,,,,여성장애인 출산 비용 지원,여성 장애인 출산비용 지원에 대해 알려줘,"여성 장애인 출산비용 지원 대상은?
여성 장애인 출산비용 지원내용은?
여성장애인 출산비용 신청방법은?
장애인 출산 보조금
장애인 출산 지원금","[여성장애인 출산비용 지원]
[지원대상]
-1∼6급의 등록한 여성장애인 중 출산 및 유산·사산한 자
-2016년 1월 1일 이후 출산한 자
-2016년 1월 1일 이후 임신기간 4개월 이상의 태아를 유산·사산한 자
※ 단, 인공 임신중절 수술에 따른 유산의 경우는 지원 불가

[지원내용]
-출산(유산·사산 포함) 시 태아 1인 기준 1백만원 지원 / 계좌 입금

[신청방법]
-신청권자 : 여성장애인 본인 또는 그 가족
※ 본인 신청이 원칙이며 부득이한 경우 대리신청 가능
※ 배우자, 직계혈족, 형제·자매

[신청장소]
주소지를 관할하는 읍·면사무소, 동주민센터/방문신청

[신청서류]
신청자 신분증(대리신 신청 시 대리인 본인 신분증 포함) 신청서, 출생증명서(주민등록등본, 가족관계등록부 등), 사산 진단서, 통장사본(여성장애인 본인 명의)",,
,,종합사회복지관,일반,종합사회복지관_시설소개,종합사회복지관 층별 안내해줘,"종합사회복지관 시설 알려줘
종합 사회 복지관에 뭐뭐 있어","[종합사회복지관 구분 용도 실명]
**표**
구분	용도	실명
지하 1층	종합사회복지관	식당, 주방
지상 1층	종합사회복지관	제6~7강의실, 방과 후 공부방, 표현활동실(피아노), 가위손방, 빨래방
지상 2층	종합사회복지관	제5강의실, 고엽제전우회, 대회의실, 드림스타트(아동폭력상담실), 복지관사무실
지상 3층	종합사회복지관	제1~4강의실, 농아인협회, 민주평화통일자문회의, 소비자교육중앙회
지상 4층	도서관	열람실
지상 5층	도서관	자료실
**",https://www.brcn.go.kr/brwelfare/sub01_02.do,
,,,,종합사회복지관_찾아오시는길,종합사회복지관 위치를 알려주세요,"종합사회복지관 위치는 어디야
종합사회복지관 주소 알려줘","[종합사회복지관 위치]
충남 보령시 천변북길 121

[전화번호]
041-930-3391",https://www.brcn.go.kr/brwelfare/sub01_04.do,
,,,사업안내,가족기능강화사업_방과 후 공부방,방과 후 공부방에 대해 알려줘,"방과 후 공부방 돌봄시간 알려줘
방과 후 공부방 대상인원 알려줘
방과 후 공부방 프로그램내용 알려줘","[가족기능강화사업 방과 후 공부방]
-대상인원 : 60명 / 방과 후 돌봄이 필요한 초등학교 1~3학년(1학년 20명, 2학년 20명, 3학년 20명)
-운영시간 : 학기중 12:00 ~ 19:00, 방학중 09:00 ~ 17:00
-이용료 : 법정저소득(기초수급자, 차상위계층, 한부모 가정 / 무료), 일반아동 월 70,000원

[신청방법]
-방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)

[프로그램 내용]
**표**
구분	내용	비고
학습지도	숙제지도, 국어, 수학, 독서지도, 보드게임 등
특기적성	피아노, 미술, 영어, 독서논술, 체육활동, 과학교실	방학중 : 마술교실
체험학습	체험학습 연 2회
생활지도	기본생활습관, 간식, 석식, 부모상담, 교통안전지도 등
**",https://www.brcn.go.kr/brwelfare/sub02_02_01.do,
,,,,교육문화사업_기능·어린이 취미교실,기능 어린이 취미 교실에 대해 알려줘,"기능 어린이 취미 교실 이용방법 안내해줘
기능 어린이 취미교실 프로그램 알려줘","[교육문화사업 기능 어린이 취미교실]
-대상 : 보령시에 주민등록이 되어 있는 시민이면 누구나 신청가능
-학습지도 : 3~6개월 과정
-이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)

[신청방법]
-방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)

[프로그램 내용]
**표**
기능ㆍ어린이 취미교실
과목	대상	정원	수강료	기간	요일	교육시간	교육내용
7과목	　	110명	　	　	　	　	　
컴퓨터	만18세이상	15	1만원	연중	월ㆍ수	10:00 ~ 12:00	파워포인트, 한글, 엑셀 등
한지공예	만18세이상	15	1만원	연중	화ㆍ목	09:30 ~ 12:30	전등, 콘솔 등 생활소품 만들기
우드버닝	만18세이상	15	1만원	연중	월ㆍ수	14:00 ~ 16:00	인두화(풍경,인물화 등)새김
민요교실	만18세이상	20	1만원	연중	금	13:30 ~ 15:30	경기민요 등 각 지역 민요 배우기
야간	영어회화	만18세이상	15	1만원	연중	화ㆍ목	19:00 ~ 21:00	생활영어 회화 및 기초다지기
어린이	그림그리기	초등생	15	무료	1기	토	10:00 ~ 12:00	손과눈 협응력 및 인지능력 발달
마술	초등생	15	무료	1기	토	10:00 ~ 12:00	원리 및 도구사용법 알기
**",https://www.brcn.go.kr/brwelfare/sub02_02_02.do,
,,,,교육문화사업_어르신 여가·문화사업,어르신 여가·문화사업 종류 알려줘,"어르신 여가 문화사업 이용방법 알려줘
어르신 여가 문화사업 프로그램
어르신 여가 프로그램 알려줘
어르신 문화사업 ","[어르신 여가 문화사업]
-대상 : 보령시에 주민등록이 되어 있는 만65세 이상 어르신
-학습지도 : 1~3개월 과정
-이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)

[접수방법]
-방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)

[프로그램]
**표**
어르신 여가문화교실(은빛교실)
과목	대상	정원	수강료	기간	요일	교육시간	교육내용
3과목	　	50명	　	　	　	　	　
어르신 정보화	65세이상	15	무료	연중	월ㆍ수	13:00 ~ 15:00	컴퓨터 기초 과정 지도
한글교실	만18세이상	15	무료	연중	목ㆍ금	10:00 ~ 12:00	한글기초 및 맞춤법 지도
웃음치료교실	65세이상	20	무료	연중	화ㆍ수	10:00 ~ 12:00	분노, 우울 정서조절
**",https://www.brcn.go.kr/brwelfare/sub02_02_03.do,
,,,,자활지원사업_기능교육,자활지원사업_기능교육이 뭐에요?,"기능교육 이용방법 알려줘
기능교육 프로그램 알려줘
홈패션 교육 받으려면 어떻게해
인테리어 만들기 수업 알려줘
리폼 수업이 있다던데","[자활지원사업 기능교육]
-대상 : 보령시에 주민등록이 되어 있는 시민이면 누구나 신청가능
-학습지도 : 3개월 과정
-이용료 : 월 1만원 (무료 대상자 : 만65세 이상, 만 18세 이하 청소년, 다자녀 가정의 부모 및 자녀, 자원봉사자우수회원)

[신청방법]
-방문접수 : 종합복지관팀(041-930-3393, 041-930-3397)

[프로그램]
**표**
자활지원(기능교육)
과목	대상	정원	수강료	기간	요일	교육시간	교육내용
2과목 / 3종	　	45명	　	　	　	　	　
양재	만18세이상	15	1만원	연중	월ㆍ화	09:30~12:30	리폼 및 예쁜옷 만들기
홈패션	주간	만18세이상	15	1만원	연중	목ㆍ금	09:30 ~ 12:30	인테리어 및 생활소품 만들기
야간	만18세이상	15	1만원	연중	월ㆍ화	19:00 ~ 21:00	인테리어 및 생활소품 만들기
**",https://www.brcn.go.kr/brwelfare/sub02_04_01.do,
,,,,지역사회보호사업_밑반찬지원,지역사회보호사업_밑반찬지원에 대해 알려줘,"밑반찬지원 이용방법 알려줘
밑반찬지원 내용 알려줘
반찬 지원 사업
저소득층 반찬 지원","[밑반찬지원]
-대상 : 저소득층 독거 어르신, 장애인 가정 등
-서비스내용 : 밑반찬지원
-이용절차 : 대상자 의뢰(읍·면·동사무소) > 선정 > 서비스제공
-사업 내용 : 매월2회 밑반찬 지원",https://www.brcn.go.kr/brwelfare/sub02_03_01.do,
,,,,지역사회보호사업_행복빨래방,지역사회보호사업_행복빨래방이 뭐에요,"행복빨래방 이용방법 알려줘
세탁 지원 사업 알려줘
빨래 수거 사업 알려줘","[행복빨래방]
-대상 : 세탁시설이 취약한 요보호대상자(어르신, 장애인 등)
-서비스내용 : 행복빨래방
-이용절차 : 대상자 의뢰(읍·면·동사무소) > 선정 > 서비스제공
-사업 내용 : 세탁물 수거 후 세탁 및 전달(연중시행)",https://www.brcn.go.kr/brwelfare/sub02_03_02.do,
,,,,지역사회보호사업_사랑의 가위손방,사랑의가위손방이 뭐에요?,"사랑의 가위손방에 대해서 알려줘
저소득층 컷트
어르신 염색 사업
중증장애인 미용 서비스","[사랑의 가위손방]
-대상 : 65세 이상 저소득층 어르신 및 중증 장애인
-서비스내용 : 사랑의 가위손방
-이용절차 : 대상자 의뢰(읍·면·동사무소) 및 희망자 > 서비스제공
-사업 내용 : 사랑의 가위손방 컷트, 염색등 이미용 서비스 (매월 둘째주 수요일) ",https://www.brcn.go.kr/brwelfare/sub02_03_03.do,
,,,,지역사회보호사업_명절음식 나누기,명절음식 나누기에 대해 알려줘,"명절음식 나누기가 뭐에요?
명절음식 나누기 이용방법 알려줘","[명절음식 나누기]
-대상 : 밑반찬 지원 대상가구
-서비스내용 : 명절음식 나누기
-이용절차 : 밑반찬 지원 대상가구 > 서비스제공
-사업 내용 : 명절음식 나누기 설, 추석 명절 음식 지원 ",https://www.brcn.go.kr/brwelfare/sub02_03_04.do,
,,,,지역사회보호사업_행복나들이,행복나들이가 뭐에요?,"행복나들이에 대해 알려줘
행복나들이 이용방법 알려줘
어르신 지역 명소 나들이 사업
어르신 유적지 나들이","[행복나들이]
-대상 : 65세 이상 저소득 어르신
-서비스내용 : 행복나들이
-이용절차 : 대상자 의뢰(읍·면·동사무소) >선정 > 서비스제공
-사업내용 : 행복나들이 지역 명소ㆍ 유적지 등 나들이(연 1회) ",https://www.brcn.go.kr/kor/sub05_04_08_02.do,
,,,,특화사업_사랑나눔 김치은행,사랑나눔 김치은행 이용방법 알려줘?,"사랑나눔 김치은행이 뭐에요?
사랑나눔 김치은행에 대해 알려줘
독거 노인 김치 나눔
장애인 가정 김치 나눔
저소득층 김치 나눔
김치 기부","[사랑나눔 김치은행]
-대상 : 독거 어르신, 장애인 가정 및 저소득층
-운영기간 : 연중(김장 지원 3~11월)
-서비스내용 : 사랑나눔 김치은행(가구당 13㎏)
-시설규모 : 저온창고(10㎡)
-이용절차 : 대상자 의뢰(읍·면·동 사무소) 〉선정 > 서비스 제공
-사업 내용 : 김치를 기부하시면 충남사회복지공동모금회를 통하여 기부금 영수증을 발급해 드립니다.",https://www.brcn.go.kr/kor/sub05_04_08_02.do,
,,드림스타트센터,드림스타트 소개,드림스타트 사업안내,드림스타트에 대해 알려주세요,"드림스타트가 뭐에요?
드림스타트 대상자 선정방법은?","[드림스타트]
-사업목적 : 취약계층 아동에게 맞춤형 통합서비스를 제공하여 아동의 건강한 성장과 발달을 도모하고 공평한 출발 기회를 보장함으로써 건강하고 행복한 사회구성원으로 성장할 수 있도록 지원
-법적근거 : 아동복지법 제37조, 아동복지법시행령 제37조
-서비스 대상 : 0세(임산부 포함) ~ 만 12세(초등학생 이하)로 아동의 성장 및 복지여건이 취약한 가정
※ 국민기초수급 및 차상위계층 가정, 결손가정, 성폭력피해아동, 한부모가정, 조손가정 우선 지원을 원칙으로 함

[대상자]
-선정방법 : 사업지역(시ㆍ군ㆍ구) 내 거주하는 해당 연령의 아동과 그 가족, 임산부를 대상으로 가정을 방문하여 '드림스타트 양육환경 및 아동발달 사정'을 통해 위기개입 / 집중사례관리 / 일반사례관리 아동을 선정
※ 수준별로 대상 아동에 대해 정기적으로 재사정을 실시하여 대상자 재선정",https://www.brcn.go.kr/kor/sub05_04_08_02.do,
,,,,드림스타트 사업안내_서비스내용,드림스타트 서비스 내용은 뭐에요?,드림스타트 서비스내용 알려줘,"[드림스타트 서비스 내용]
**표**
서비스 구분	서비스 내용
신체/건강
-아동의 건강한 성장과 신체발달 증진
-건강한 생활을 위한 건강검진 및 예방, 치료
-아동 발달에 필요한 신체/건강 정보 제공
인지/언어
-아동의 의사소통 및 기초학습 능력 강화
-맞춤형 인지/언어 서비스를 통한 아동의 강점 개발
정서/행동
-자아존중감 및 긍정적 성격 형성을 위한 정서발달 서비스 제공
-올바른 사회 인식 및 이해를 도와 성숙한 사회시민으로 성장을 도모
부모의 양육
-부모자녀 상호작용 및 적합한 교육환경을 위한부모 역량 강화
-부모의 유능감 및 자존감 강화
-부모의 양육기술 지원
-임산부의 건강한 출산 및 양육 지원
**",https://www.brcn.go.kr/kor/sub05_04_08_02.do,
,,,,찾아오시는 길,드림스타트센터 주소 알려줘,드림스타트센터 가는길 알려줘,"[드림스타트 센터 주소]
<MAP>


(우)33438 충청남도 보령시 천변북길 121(보령시종합사회복지관 1층)
드림스타트센터 주소",https://www.brcn.go.kr/kor/sub05_04_08_02.do,
,,청소년지원센터,보령시청소년 교화연합회,이용방법,보령시청소년 교화연합회 이용방법 안내해주세요,"보령시 청소년 교화연합회 이용시간 알려줘
보령시 청소년 교화연합회 휴관일 알려줘","[보령시 청소년 교화 연합회]
-이용시간
평일 : 오전 10시 ~ 오후 9시 (3월~10월) / 오전 10시 ~ 오후 8시 (11월~2월)
토, 일요일 : 오전 10시 ~ 오후 6시
휴관일 : 월요일, 국가공휴일
※ 청소년 상담 전화의 경우 365일 24시간 이용 가능 (1388)
※ 청소년이 참여하는 모든 프로그램과 이용은 무료입니다.

[청소년 시설]
-청소년 문화의 집
-청소년 상담복지센터
-청소년 자원봉사센터
-청소년 유해환경 감시단",,
,,,청소년상담복지센터 꿈드림,이용안내,청소년 상담 복지센터 꿈드림 이용안내 해주세요,청소년 상담 복지센터 꿈드림이 뭐에요?,"[보령시 청소년 상담복지센터]
<IMAGE>
보령시 청소년 상담복시센터 꿈드림 설명
http://dongmuya.or.kr/img/cnt/cent/020101.jpg",,
,,,,이용방법,청소년 상담 복지센터 꿈드림 이용방법은 뭐에요?,청소년 상담 복지센터 꿈드림 이용방법 알려줘,"[보령시 청소년 상담복지센터 이용방법]
<IMAGE>
보령시 청소년 상담복시센터 꿈드림 이용 방법
http://dongmuya.or.kr/img/cnt/cent/020201.jpg",,
,,,청소년문화의집,이용안내,청소년 문화의 집 이용 시간 알고싶어요,"청소년 문화의집 이용시간은 언제에요?
청소년 문화의집 휴관일 알려주세요","[청소년문화의집]
<IMAGE>
청소년 문화의집 설명
http://dongmuya.or.kr/img/cnt/cult/030101.jpg",,
,,,,프로그램안내,청소년 문화의 집 프로그램 안내 해주세요,청소년 문화의 집 프로그램 뭐가있어요?,"[청소년문화의집 프로그램]
<IMAGE>
청소년 문화의집 프로그램 설명
http://dongmuya.or.kr/img/cnt/cult/030201.jpg",,
,,,청소년자원봉사센터,이용안내,청소년 자원봉사센터에 대해 알려줘,청소년 자원봉사센터 설명해줘,"[청소년 자원봉사센터]
<IMAGE>
청소년 자원봉사센터 설명
http://dongmuya.or.kr/img/cnt/volu/040101.jpg",,
,,,,프로그램안내,청소년 자원봉사센터 프로그램 안내해줘,청소년 자원봉사센터 주요활동내용은 뭐야?,"[청소년 자원봉사센터 주요 활동 내용]
<IMAGE>
청소년 자원봉사센터 활동 내용
http://dongmuya.or.kr/img/cnt/volu/040201.jpg","https://www.dreamstart.go.kr/bory/contents/sub01_01_03.asp
",
,,,청소년 유해환경 감시단,감시단안내,청소년 유해환경 감시단은 뭐에요?,청소년 유해환경 감시단 설명해줘,"[청소년 유해환경감시단]
<IMAGE>
청소년 유해환경 감시단
http://dongmuya.or.kr/img/cnt/envi/0501.jpg",,
,,,교육안내,고발창구,청소년 유해환경 신고하고 싶어요,청소년 유해환경 신고하려고 하는데,"[청소년 유해환경 신고]
<LINK>
청소년 유해환경 신고
http://dongmuya.or.kr/cnt/envi/envi050401.html
청소년 유해환경 신고 주소",,
,,보령시자원봉사센터,센터소개,조직도,보령시자원봉사센터 업무담당자 알고싶어요,보령시 자원봉사센터 업무담당자 알려줘 ,"[보령시 자원봉사센터 업무 담당자]
**표**
부 서	직  책	성  명	번    호	담    당    업    무	비 고
센 터 장	우준영	070-4172-4734	센터 업무 총괄
운영팀	사무국장	조승아	070-4172-4732	센터 실무 총괄, 전문자원봉사단운영, 자원봉사자의 날 기념식
사 무 원	김미경	070-4917-2612	예산 및 회계, 행정정보시스템 운영, 기부금품 관련
교육코디	김주선	070-4248-3634	자원봉사 기본.보수.전문교육, 청소년봉사활동운영 및 지원
사업팀	팀     장	조은영	070-4172-4733	사업 총괄,1+3사랑나눔, 재난재해전문봉사단운영
전산코디	김다인	933-1365	1365자원봉사포털관리, 우수자원봉사원증카드발급, 수요처관리
행복코디	김백선	070-4271-4731	거점캠프운영(13개)
운 전 원	김계열	070-4224-1873	이동빨래차 운영(북부)
운 전 원	김영선	070-4252-3686	이동빨래차 운영(남부)
**",,
,,,,찾아오시는 길,보령시 자원봉사 센터 주소 알려줘,"보령시 자원봉사센터 가는 길 알려줘
보령시 자원봉사센터 전화번호 알려줘","[자원봉사센터 주소 및 문의처]
-주소 : 충남 보령시 보령북로 75 (구주소 :보령시 대천동 168-2)

-문의처
041-933-1365
041-933-4365
bv1365@hanmail.net",,
,,,정보센터,할인가맹점,보령시 자원봉사센터 할인 가맹점 알려주세요,보령시 자원봉사센터 가맹점은 어디야?,"[보령시 자원봉사센터 할인 가맹점]
자원봉사자가 할인받을 수 있는 가맹점은 아래 URL에서 확인할 수 있습니다.
<LINK>
자원봉사센터 할인 가맹점
http://nanumboryeong.co.kr/?page_id=23
자원봉사센터 할인 가맹점",,
,,,,우수봉사자증발급,우수봉사자증 발급에 대해 알려주세요,"우수봉사자증이 뭐에요?
우수봉사자증 발급대상은?
우수봉사자증 발급방법은?
우수봉사자증 이용방법은?","[우수 자원봉사자증]
보령시자원봉사센터에서는 1365포털 시스템에 등록된 봉사자로 봉사활동 실적이 우수한 자원봉사자들에게  ‘충청남도 우수자원봉사자자증’ 발급하고 할인가맹점 이용 시 사용할 수 있습니다.

[발급대상 및 방법]
-사)보령시자원봉사센터 소속 봉사자로 누적 봉사 시간이 100시간 이상인 자원봉사자(1365자원봉사포털 기준)
-소속기관 단체에서 대상자 취합 신청 및 개인 신청(사진 지참 직접 방문)

[이용방법]
-충남 할인가맹점 이용 시 일정율 할인 적용됩니다.",,
,,,,수요처,수요처를 알고싶어요,"수요처는 어디인가요?
봉사할 수 있는 곳 알려줘
보령시내 봉사 수요 시설","[자원봉사 수요처]
자원봉사 수요처는 다음 URL에서 확인할 수 있습니다.
<LINK>
자원봉사 수요처
http://nanumboryeong.co.kr/?page_id=27
보령시 내 자원봉사 수요처 목록",,
,,,,자원봉사자 상해보험 안내,자원봉사자 상해보험에 대해 설명해줘,"자원봉사자 상해보험이 뭐에요?
자원봉사자 상해보험 가입방법은?
자원봉사자 상해보험 적용대상은?
봉사하다 다쳤을 때
자원봉사 보험","[자원봉사자 상해보험 안내]
-가입목적 : 자원봉사활동 중 발생할 수 있는 각종 손해 및 사고로부터 자원봉사자를 보호하기 위함
-가입방법 ; 지자체 및 센터를 통해 보령시 소속 봉사자 일괄 가입

[보험적용대상]
-1365자원봉사포털(1365.go.kr) 가입자 중 보령시 소속 봉사자
-1365자원봉사 포털 가입 후 봉사활동 실적 1회 이상 등록된 경우
-1365자원봉사 포털에서 보험 가입을 위한정보제공 및 활용 동의한 봉사자
* 1365포털 로그인 후 회원정보관리에서 소속 센터 및 동의 여부 확인 가능

[적용내용]
-자원봉사 상해보험은 자원봉사 활동을 하는 동안 발생할 수 있는 상해에 대한 보험을 뜻하며 이는 아래의 경우에 해당합니다.
 – 정규활동 : 실제 자원봉사 활동
 – 특별활동 : 자원봉사 활성화 및 자원봉사 준비를 위한 전반적인 활동(연수 및 워크숍 교육 등)
 – 자원봉사활동 시작 전 또는 종료 후 활동장소에 있는 동안
 – 자원봉사활동을 위한 활동 장소와 피보험자(보험대상자)의 주소지와 통상적인 경로 통행 중",,
,,대천가족성통합상담센터,"일반
(센터소개)",센터에서 하는 일,대천가족 상담센터에서 받을 수 있는 상담 알려주세요,"센터에서 가정폭력 상담도 할수 있나요?
센터에서 성폭력 상담도 할수 있나요?
센터에서 가족상담도 할수 있나요?
센터에서 심리검사를 하나요?","[대천가족성통합 상담센터 업무 내용]
<IMAGE>
대천가족성통합 상담센터 업무 내용
http://www.dfcc.or.kr/design/default/images/work_img.gif",,
,,,,찾아오시는 길,대천가족 성통합상담센터 찾아가는 길 알려주세요,대천가족 성통합상담센터 주소 알려줘,"[대천가족성통합 상담센터 주소 및 문의처]
-주소 : (33465) 충남 보령시 대천로 35
-문의전화 : (041) 936-7941
-Fax : (041) 936-7931
-E-mail : dfcc@hanmail.net",,
,,,상담안내,상담안내,상담은 어떤 종류가 있나요?,상담받고 싶은데 어떤 상담이 가능한가요?,"[대천가족성통합 상담센터 상담 종류]
1.면접상담
전화예약 후에 방문하시면 약속된 시가넹 전문상담원과 상담이 가능합니다.
편안한 분위기의 상담실에서 일대일로 대면상담을 합니다.
가정폭력, 성폭력 관련상담은 무료입니다.
상담시 심리검사를 받으실 수 있습니다.

2. 전화상담
상담전용전화 : 평일(041-933-1366)
                     토요일, 공휴일, 야간(국번없이 1366)
평일 : 오전 9시부터 오후 6시까지
전화상담실에서 전문상담원이 상담

3. 사이버 상담
온라인 상담실의 코너에 상담내용을 올리시면 빠른시간내에 상담원이 답변글을 올립니다.
상담글을 올리실 때는 구체적으로 작성하시면 적절한 도움을 받으실 수 있습니다.

4. 상담시간
평일(월~금) : 오전9시 ~ 오후6시
토, 휴일, 야간 : 24시간 (국번 1366 휴대전화 사용시 지역번호와 1366)

상담센터의 상담내용을 철저하게 비밀이 보장되어 비공개입니다.",,
,,,인터넷상담실,가정폭력상담실,가족폭력 상담하고 싶어요,가정폭력 온라인 상담실 알려줘,"[대천가족성통합 상담센터 가정폭력 온라인 상담실]
가정폭력 온라인 상담은 아래 URL에서 하실 수 있습니다.
<LINK>
대천가족성통합 상담센터 가정폭력 온라인 상담실
http://www.dfcc.or.kr/modules/board/bd_list.html?id=counsel_home
가정폭력 온라인 상담실",,
,,,,성폭력 상담실,성폭력 상담하고 싶어요,성폭력 온라인 상담실 알려줘,"[대천가족성통합 상담센터 성폭력 온라인 상담실]
성폭력 온라인 상담은 아래 URL에서 하실 수 있습니다.
<LINK>
대천가족성통합 상담센터 성폭력 온라인 상담실
http://www.dfcc.or.kr/modules/board/bd_list.html?id=counsel_sex
성폭력 온라인 상담실",,
,,,,가족문제 상담실,가족문제 상담하고 싶어요,가족문제 온라인 상담실 알려줘,"[대천가족성통합 상담센터 가족문제 온라인 상담실]
가족문제 온라인 상담은 아래 URL에서 하실 수 있습니다.
<LINK>
대천가족성통합 상담센터 가족문제 온라인 상담실
http://www.dfcc.or.kr/modules/board/bd_list.html?id=counsel_family
가족문제 온라인 상담실",,
