대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL)
,,,,임산부 건강관리,보령시 보건소 임산부건강관리 프로그램 알려주세요,"보령시보건소 임산부 건강관리의 날 운영에 대해 알려주세요
보령시보건소 임산부 출산준비교실 운영에 대해 알려주세요","건강관리의 날 운영
일시: 매주 수요일 실시 (09:00 ~ 18:00)
         매월 넷째주 토요일 (09:00 ~ 12:00 직장여성의 날 운영)
장소 : 보건소 임산부 관리실
대상 : 가임기 여성 및 임산부 (보령시 주소를 둔 임산부)
내용
가입기 여성 건강검진 및 엽산제 지원
임신부 등록 및 기초검사(체중, 혈압, 당·단백뇨 등)
임신부 영양제 및 출산용품 지원(엽산제, 철분제, 출산용품)
의뢰서 발급(임부초음파, 태아기형아 검사, 신생아 청각검사)
임산부 안전벨트 지원(20주 이후)
유축기 대여
출산준비교실 운영
기     간 : 3, 6 ,9, 11월 (분기별 1회/ 회별 5차 시)
장     소 : 보건소 회의실 2층
대     상 : 20주 이상 임산부 및 예비아빠
내     용
임신과 출산 자연분만법 등 단계별 교육
모유수유의 성공적 준비 등
부부가 함께하는 출산준비 교육
관련부서: 건강증진과 모자보건팀 최나영 041-930-6862
 ",
,,,,고혈압/당뇨 관리,보령시보건소 고혈압/당뇨 관리 프로그램 알려주세요,"보령시보건소 혈압관리 프로그램 알려주세요
보령시 보건소 당뇨관리 프로그램 알려주세요
보령시보건소 건강상담실에 대해 알려주세요","건강상담실 상시 운영
기간: 연중
대상: 고혈압, 당뇨병, 고지혈증 환자 및 가족, 지역주민 등
장소: 보건소 건강증진과 방문진료담당 (2층)
내용
혈압, 혈당, 콜레스테롤
개인별 보건교육 및 건강상담
당화혈색소 검사 (당뇨환자)
고혈압, 당뇨환자 합병증 검진 의뢰
미세단백뇨 검사 (신장질환 합병증 검사)
건강관리수첩 및 리플릿, 책자 등 유익한 건강정보 제공
담당 부서: 건강증진과 방문보건팀 신하은 041-930-5973",https://www.brcn.go.kr/health/sub02_03_04.do
,,,원격영상진료,원격영상진료,보령시 원격영상진료에 대해 알려줘,"보령시 원격영상진료에 대해 설명해줘
보령시 원격영상진료 도움이 되는 환자는?
보령시 원격영상진료가 좋은점이 뭔가요?","원격영상진료가 도움이 되는 환자
만성질환자
진료소에서 주기적으로 고혈압, 당뇨 약을 처방받는 환자
재진환자
협진 의료기관에서 진료를 받은 후 정기적 투약 및 진료상담이 필요한 환자
※ 의사의 직접적인 진료 (타진, 촉진 등)가 필요한 환자 제외
원격영상진료가 좋은 점 「우리동네 보건기관에서 의사 진료 처방 약수령까지」
시간 절감
멀리 있는 병원까지 오고 가는 시간 절감
가까운 보건기관에서 미리 예약을 하고 정해진 시간에 진료를 받을 수 있으므로 내 순서까지 기다리는 시간 절감
경비 절감
버스나 선박을 이용하는 비용 절감
섬에서 육지를 경유하여 원거리의 병원을 가는 경우 숙박비 절감",https://www.brcn.go.kr/health/sub02_04_01.do
,,,,진료기관,보령시 원격진료 진료기관 알려줘,"보령시보건소 원격영상진료 찾아오는 길 알려줘
보령시진료소 원격영상진료 하는 곳 알려줘",https://www.brcn.go.kr/health/sub02_04_02.do,https://www.brcn.go.kr/health/sub02_04_02.do
,,,사업안내_보건사업,금연사업,보령시보건소 금연사업에 대해 알고싶어요,"보령시보건소 금연클리닉 운영안내 알려줘
지역사회 중심 금연환경 조성에 대해 알려줘
전면금연 공중이용시설의 종류를 알려줘
","금연클리닉 운영 안내
기 간 : 연중 (월 ~ 금) 09:00 ~ 18:00
장 소 : 보건소 2층 금연클리닉실
대 상 : 금연을 원하는 흡연자
내 용
1:1 금연상담, 일산화탄소측정
금연보조제 지원, 금연성공자 기념품 제공 등
문 의 : 건강증진과 금연 클리닉실 김수진, 이유희 041-930-5970
지역사회 중심 금연환경 조성
우리 시 조례에 의한 금연구역 (2020.12. 기준)
구  분 도시공원 학교절대
정화구역 버스정류장 주유소 및
충전소 비  고
개소 수 47 85 106 63 흡연시 과태료 3만원 부과
전면금연 공중이용시설 (국민건강증진법 제9조)


구  분 절  대    금  연  구  역
정부 및 지방청사 청사 및 지방자치단체 청사
의료기관, 보건기관 의료기관, 보건소, 보건의료원, 보건지소
학교 「유아교육법」,「초 ㆍ 중등교육법」 및 「고등교육법」 에 의한 학교
청소년이용시설 청소년수련관, 청소년수련원, 청소년문화의집, 청소년특화시설, 청소년 야영장, 유스호스텔,
청소년이용시설 및 청소년활동시설
도서관 「도서관법」 에 따른 도서관
어린이놀이시설 「어린이놀이시설 안전관리법」 에 따른 어린이놀이시설
어린이집 「영유아보육법」 에 따른 어린이집
대규모 점포 대규모점포와 상점가중 지하도에 있는 상점가
공연장 객석수 300석 이상의 공연장
학원 연면적 1천 제곱미터 이상의 학원, 학교교과교습학원
체육시설 1천명이상의 관객을 수용할 수 있는 체육시설
사회복지시설 사회복지시설
교통시설 공항 ㆍ 여객부두 ㆍ 철도역 ㆍ 여객자동차터미널대합실 ㆍ 승강장, 지하보도,
16인승 이상의 유상교통수단
대형건물 연면적 1천제곱미터 이상의 사무용 건축물, 공장 및 복합용도의 건축물
관광숙박업소 관광숙박업소
목욕장 목욕장
어린이운송용
승합자동차 「자동차관리법」 에 따른 어린이 운송용 승합자동차
음식점 휴게음식점, 일반음식점 및 제과점 영업소 (모든 음식점으로 확대)
게임방, PC방
청소년게임제공업소, 일반게임제공업소, 인터넷컴퓨터게임시설제공업소 및 복합유통게임제공업소

실내체육시설
실내스크린골프장, 당구장, 수영장, 체육도장업(태권도장 등), 체력단련장업(헬스클럽 등)

과태료 부과기준 : 흡연 시 10만원 부과
공동주택 금연구역(국민건강증진법 제9조제5항)
구  분 금  연  구  역
금연아파트(2개소) 보령명천시티프라디움, 더베스트예미지아파트 내
복도·계단·엘리베이터·지하주차장
과태료 부과기준: 흡연 시 5만원 부과
금연관련 법령이행 지도점검
기          간 : 연중
점 검 대 상 : 공중이용시설 및 우리시 지정 금연구역
점 검 내 용 : 금연시설 법령이행 점검 및 흡연자 단속
문          의 : 건강증진과 건강증진팀 이수현 041-930-5964",https://www.brcn.go.kr/health/sub03_01_01.do
,,,,건강생활실천사업,보령시보건소 건강생활실천사업 어떤 종류가 있나요?,"보령시보건소 원스톱 건강증진센터 운영에 대해서 알려줘
보령시보건소 건강생활실천 프로그램 운영에 대해서 알려줘
지역사회 건강생활실천 환경조성에 대해서 알려줘","원스톱 건강증진센터 운영
기 간 : 연중
장 소 : 보건소 2층 건강증진센터
대 상 : 지역주민
내 용 : 체성분 측정 및 개인별 맞춤형 운동‧영양‧건강 상담 및 교육
문 의 : 건강증진센터 체육지도사 황인선, 영양사 김숙희 041-930-5980
건강생활실천 프로그램 운영
기 간 : 연중
대 상 : 지역주민
내 용
건강새싹 성장교실
찾아가는 건강지킴이 운영
도전! 비만탈출교실(연3기 운영)
걷강한 돌봄 놀이터 운영
다같이 걷자, 동네한바퀴
「갱년기, 뱃살 물럿거라」 프로그램
모바일 헬스케어 프로그램 운영
문 의 : 건강증진과 김보영 041-930-5961
지역사회 건강생활실천 환경조성
기 간 : 연중
내 용
모범음식업소 저염 환경 조성 교육 실시
저염 환경조성 캠페인 및 홍보
소규모노인복지시설(50인 아하) 식단 및 건강정보 제공
걷기 캠페인 운영
운동 건강정보 안내판 설치
절주 환경 조성 및 캠페인 홍보
문 의 : 건강증진과 김보영 041-930-5961",
,,,,구강보건사업,보령시보건소 구강보건사업 종류를 알려줘,"보령시보건소 구강보건사업 불소용액 양치사업 안내해줘

보령시보건소 구강보건사업 경로당 노인 구강건강관리 사업에 대해 알려줘

보령시보건소 구강보건사업 다문화 가정 맞춤형 구강건강관리 사업 추진에 대해 알려줘

보령시보건소 구강보건사업 학교 구강보건실 운영에 대해 알려줘

보령시보건소 구강보건사업 학교 미취학 어린이 구강건강관리에 ","불소용액 양치사업 안내
기 간 : 연중
대 상 : 지역주민
장 소 : 보건 (지)소  및 보건진료소, 민원실
내 용
충치 및 시린이 완화에 대한 불소용액 무료 제공
불소용액양치 방법 설명
문 의 : 건강증진과 구강보건실 표오순 041-930-5962
경로당 노인 구강건강관리 사업
기 간 : 2월 ~ 12월
장 소 : 경로당 및 마을회관
대 상 : 경로당, 마을회관 이용 어르신
내 용
올바른 구강건강생활 실천을 위한 구강건강 교육
불소용액 양치지도와 불소바니쉬 도포
틀니관리요령 및 사용방법 안내
문 의 : 건강증진과 건강증진팀 표오순 041-930-5962
다문화 가정 맞춤형 구강건강관리 사업 추진
기 간 : 7월 ~ 9월 (방학기간 활용)
대 상 : 보령시 거주 다문화 가족 중 희망자
장 소 : 보령시보건소 구강보건실
내 용
구강건강 실태조사, 스켈링, 불소비니쉬도포, 불소양치액 배부, 구강보건교육
충치치료 요하는 자는 치과실 연계 등
문 의 : 건강증진과 건강증진팀 표오순 041-930-5962
학교 구강보건실 운영
기 간 : 3월 ~ 12월 (방학 제외)
장 소 : 각 학교 구강보건실
대 상 : 관내 3개 초등학교 및 특수학교 1개(대천, 한내, 명천, 보령정심)
내 용
구강질병관리 업무 (치면세마, 유치발치 등)
구강건강증진업무 (개별 구강보건교육 및 구강건강에 관한 불소사업 활성)
문 의 : 건강증진과 건강증진팀 표오순 041-930-5962
미취학 어린이 구강건강관리
기 간 : 4월 ~ 11월 (방학 제외)
대 상 : 유치원 (병설), 어린이집
내 용
올바른 칫솔질 교육 및 불소바니쉬 도포, 불소용액 배부
문 의 : 건강증진과 건강증진팀 표오순 041-930-5962",https://www.brcn.go.kr/health/sub03_01_04.do
,,,,심뇌혈관질환예방사업,보령시보건소 심뇌혈관질환예방사업에 대해 알려주세요," 심뇌혈관질환예방이란?
지역사회 교육 홍보사업에 대해 알려줘
환자 조기 발견 사업에 대해서 알려주세요","심뇌혈관질환예방사업이란?
심뇌혈관질환자 조기 발견 및 관리를 통해 지역주민의 질병부담 감소, 건강수명 연장 도모

지역사회 교육ㆍ홍보 사업
심뇌혈관질환 예방관리를 위한 소그룹 교육
기 간 : 연중
장 소 : 보건소, 보건지소, 보건진료소​
대 상 : 고혈압, 당뇨, 고지혈증 환자 및 지역주민
내 용
사전 기초검진(혈압, 혈당 등) 및 건강상담, 이상자 등록관리
심뇌혈관질환 예방관리 교육 및 질환별 집중교육
문 의 : 건강증진과 방문보건팀 신하은 041-930-5973


지역사회 연계 보건교육
기 간 : 연중
장 소 : 노인복지관, 종교단체 등 지역사회 유관기관
대 상 : 지역주민
내 용
고혈압, 당뇨병에 대한 표준교육 실시(질병관리, 운동, 식이관리법 등)
심뇌혈관질환 예방관리 9대 수칙 및 건강생활 실천 교육
문 의 : 건강증진과 방문보건팀 신하은 041-930-5973
「내 혈관 숫자 알기」등 심뇌혈관질환 예방관리 홍보
기 간 : 연중
대 상 : 지역주민
장 소 ​: 사업장 및 재래시장, 다중이용시설
내 용
혈압, 혈당 측정 및 결과상담, 진료 연계 등
심뇌혈관질환 예방 및 관리수칙, 혈압, 혈당관리의 중요성 안내
심뇌혈관질환예방관리사업 안내, 지역사회 건강강좌 소개 등
신규 질환자 발굴을 위한 지역사회 연계 캠페인 전개
문 의 : 건강증진과 방문보건팀 신하은 041-930-5973
환자 조기 발견 사업
심뇌혈관질환 건강상담실 운영
기 간 : 연중
장 소 : 보건소 2층 건강증진과
대 상 : 만성질환자 및 지역주민
내 용
기초검진(혈압, 혈당) 및 1:1 건강상담
건강검진 이상자 및 만성질환 조기발견자 등록관리
심뇌혈관질환 예방관리교육 및 건강생활실천 안내
만성질환자 합병증 검진(내과, 안과) 및 건강검진 독려
만성질환자 합병증 조기검진사업
기 간 : 2~12월
대 상 : 보령시 30세 이상 고혈압·당뇨 환자 500명
검 진 항 목
내과(7종) 총콜레스테롤, HDL, LDL, 중성지방, 미세단백뇨, 당화혈색소, 두경부·경동맥 초음파
안과(5종) 세극동검사, 굴절검사, 안압검사, 정밀안저검사, 안저사진촬영",
,,,,방문건강사업,보령시보건소 방문건강사업에 대해서 알려주세요,"보령시보건소 방문건강사업이란?
방문 건강가꿈이 서비스사업이란?","방문건강사업이란?
의료 취약지 방문건강관리 서비스 기반을 구축하기 위해 방문건강관리 전담간호사와 보건지소, 보건진료소 보건담당자들이 지역을
분담하여 건강관리를 해드리고 있습니다.

방문 건강가꿈이 서비스사업
기 간 : 연중
대 상 : 건강문제가 있는 취약계층 (국민기초생활수급자, 차상위, 건강보험 하위 20%)
내 용
건강문제 스크리닝 : 건강문제 및 위험요인 파악 (기초검사 등)
건강행태개선 및 생애주기별 건강문제 관리
만성질환 및 합병증 예방 교육 및 검사
암으로 인한 증상 및 통증 조절을 위한 정보 제공
치매 진단검사 및 우울증 검사
노인 허약예방 건강관리 서비스 제공 (방문 및 전화서비스)
보건복지서비스 연계지원 : 가사간병서비스, 노인돌보미, 무료 이동목욕 등
방 법 : 군 분류별 방문서비스 제공
문 의 : 건강증진과 방문보건팀 강보라 041-930-5971",
,,,,치매관리사업,보령시보건소 치매관리사업에 대해 알려주세요,"보령시보건소 상담 및 등록관리알려줘
보령시보건소 치매조기검진사업 알려줘
보령시보건소 치매치료관리비 지원사업에 대해 알려줘
","상담 및 등록관리
기간 : 연중
장소 : 보령시 치매안심센터[대천로 119]
대상 : 60세이상 시민, 치매환자 및 가족
내용 : 치매조기검진, 치매치료관리비 및 간호용품 기자재 지원, 치매환자 인지재활(강화)프로그램 및 치매가족 지지프로그램 운영(가족교실, 자조모임), 치매환자 집중 사례관리, 실종예방 인식표 , 지문등록 및 화재예방 가스안전차단기 보급, 맞춤형 개별상담 등
문의 : 건강증진과 치매관리팀 이승덕 ☎041-930-6873, 6881 ~ 6882
치매조기검진사업
기간 : 연중(월 ~ 금) 09:00 ~ 18:00
장소 : 보건소 치매안심센터, 보건지소, 보건진료소
대상 : 60세 이상 시민 및 치매고위험자(독거노인, 75세이상 노인, 전년도 인지저하자 등)
검진내용 : 단계별 검진(선별 · 진단 · 감별검사 및 예방교육)
검항목 검진대상 검진장소 검진도구 및 내용 검진비 검진결과에 따른 조치
선별검사
(1단계) 60세이상 시민 치매안심센터 및
보건기관 등
인지선별검사
(K-CIST)
무료
인지저하 : 진단검사 실시
정상 : 1년 후 선별검사
진단검사
(2단계) 선별검사
결과
'인지저하'인 자
또는
인지저하의심군 치매안심센터
신경심리검사(CERAD-K)
치매임상평가
전문의 진찰
치매척도검사(GDS)
무료
정상 : 1년 후 선별검사
경도인지장애 : 1년 후 진단검사, 인지강화교실연계 및 정보제공
치매 : 감별검사 의뢰
감별검사
(3단계) 진단검사 결과 치매인 자 협약병원
(보령아산병원)
뇌영상 촬영(CT)
혈액검사
무료
결과안내 : 협약병원 진료의사가 직접 설명
치매 : 치매 지원서비스 안내
경도인지장애 : 1년 후 진단검사
인지강화교실 연계
정상 : 1년 후 선별검사 실시 치매예방교실 연계
문의 : 건강증진과 치매관리팀 임한옥 ☎041-930-6877, 6874
치매치료관리비 지원사업
기간 : 연중
대상 : 치매치료제를 복용 중인 보건소에 등록된 치매환자
지원금액 : 약제비 또는 진료비가 발생한 치매치료관리비 본인부담금: 월 3만원(연 36만원) 상한 내 실비지원
지원기준
㉮ 연령기준: 만 60세 이상인자
초로기 치매환자는 예외적으로 선정가능하나, 진단기준, 치료기준, 소득기준 반드시 충족
㉯ 진단기준: 상병코드 F00～F03, F10.7, G30, G31, G31.82으로 진단받은 치매환자
㉰ 치료기준: 치매치료약 처방전 사본, 영수증기준으로 치매치료제 성분이 포함된 약을 처방받은 경우
㉱ 소득기준: 기준 중위소득 120% 이하인 경우
의료급여수급자: 소득기준 충족
건강보험가입자: 건강보험료 본인부과액 기준 이하인자
2021년도 치매치료관리비지원 대상 건강보험료 본인부과액기준 적용(단위:원)
가구
원수 1인 2인 3인* 4인 5인 6인 7인 8인 9인
직장
가입자 75,224 128,342 165,968 203,558 237,681 278,094 321,769 354,781 380,152
(83,890) (143,127) (185,088) (227,008) (265,062) (310,130) (358,837) (395,652) (423,946)
지역
가입자 30,663 117,560 168,444 216,474 259,446 309,041 356,168 393,994 420,252
(34,195) (131,103) (187,849) (241,412) (241,412) (289,334) (397.199) (439,382) (468,665)* ( ) 안은 노인장기요양보험료 포함 금액
※ 대상자 선정 제외: 보훈대상자의료지원, 의료급여자 중복지원자, 긴급복지의료지원자
※ 장애인 의료비 지원대상자: 진료비를 제외한 약제비만 지원
⇒ 지원대상 선정 제외자가 중복 지원 확인 시 환수조치

신청절차
신청절차

선정 제외 및 중복지원 제외 기준
대상자 선정 제외: 보훈대상자 의료지원
ㆍ‘국가유공자증’ 또는 ‘보훈대상자 확인원’을 통해 신분확인
중복지원 제외 : 하단의 사업 대상자
① 의료급여본인부담금 상한제
② 의료급여본인부담금보상제
③ 긴급복지의료지원
④ 장애인 의료비 지원대상자 : 진료비를 제외한 약제비에 대해서만 지원(약국 처방·조제에 한함)
제출서류 및 구비서류(①②는 병원에서 받아올 서류)
① 진단서 또는 소견서(GDS 및 CDR점수 기재)
② 치매약 처방전(치매코드번호 기재)
③ 통장사본
④ 치매치료관리비 지원신청서
⑤ 행정정보 공동이용 사전동의서
⑥ 개인정보 수집 및 이용·제공동의서
제출서류 및 구비서류(①②는 병원에서 받아올 서류)
① 진단서 또는 소견서(GDS 및 CDR점수 기재)
② 치매약 처방전(치매코드번호 기재)
③ 통장사본
④ 치매치료관리비 지원신청서
⑤ 행정정보 공동이용 사전동의서
⑥ 개인정보 수집 및 이용·제공동의서
문의 : 건강증진과 치매관리팀 이인애 ☎041-930-6873, 6881 ~ 6882
치매환자 및 가족을 위한 프로그램 운영
치매인지재활프로그램 운영(기억쏙쏙 건강팔팔)
기간 : 연중 (매주 월ㆍ화ㆍ수요일) 09:00 ~ 12:00
장소 : 보령시 치매안심센터 [대천로 119]
대상 : 치매경증환자
내용
인지재활프로그램(인지학습지)
인지자극프로그램(음악, 미술, 공예, 체조 등)
문의 : 건강증진과 치매관리팀 박지수 ☎041-930-6872
치매인지강화프로그램 운영(기억똑똑똑)
기간 : 연중 (매주 목요일) 09:00 ~ 12:00
장소 : 보령시 치매안심센터 [대천로 119]
대상 : 경도인지장애 등 치매고위험군
내용
인지재활프로그램(인지학습지)
인지자극프로그램(음악, 미술, 공예, 체조 등)
문의 : 건강증진과 치매관리팀 권현진 ☎041-930-6878
치매가족 “헤아림 교실” 및 자조모임 운영
기간 : 가족교실(분기별/8회기), 자조모임(월1회 운영)
장소 : 보령시 치매안심센터 [대천로 119]
대상 : 치매가족이면 누구나
내용 : 치매에 대한 올바른 이해 및 정보제공으로 부양에 따른 갈등과 부담 완화
문의 : 건강증진과 치매관리팀 하미영 ☎041-930-6883
치매안심마을 운영
기간 : 4월 ~9월
대상 : 보령관내 치매안심마을 선정 대상 지역주민
내용 : 치매예방교실(교육․미술․체조․노래) 및 선별검사
문의 : 건강증진과 치매관리팀 하미영 ☎041-930-6883
치매 인식개선 교육 및 홍보
치매 극복의 날 행사
기간 : 9월 중
대상 : 일반 시민, 치매환자 및 가족
내용 : 치매 올바른 이해 및 인식개선 특강 및 부대행사
치매예방 교육 및 홍보
기간 : 연중
장소 : 보령시 일원(경로당, 노인대학, 복지관 등)
대상 : 일반 시민
내용 : 치매 올바른 이해 및 인식개선 특강
방법 : 희망 기관단체에서 보건소에 교육 신청
기관 교육장소서 교육자료 PPT 자료 활용하여 시청각 교육
1899-9988 치매상담콜센터 운영
기간 : 연중(365일 24시간 운영)
대상 : 시민 누구나
내용
치매원인질병, 증상 및 치료, 치매예방방법, 치매지원서비스, 정부정책 등
치매환자 케어기술, 간병부담, 환자가족의 정서적 지지, 간병 스트레스 관리 등
기타 상담 치매유병률 등
치매 파트너 양성, 치매극복 선도단체 지정 사업
기간 : 연중
대상 : 지역주민대상, 단체 / 치매안심센터 또는 외부 출장강연
파트너 역할 : 치매예방 캠페인, 치매극복의 날, 치매극복걷기대회, 치매가정환경수정사업, 인지자극프로그램, 운동프로그램 등 참여
문의 : 건강증진과 치매관리팀 윤수정 ☎041-930-6876
치매예방교실 운영
기간 : 연중
대상 : 60세 이상 대상자
내용 : 치매파트너교육, 다양한 인지프로그램 적용
치매안심마을 운영
기간 : 4월 ~9월
대상 : 보령관내 치매안심마을 선정 대상 지역주민
내용 : 치매예방교실(교육․미술․체조․노래) 및 선별검사
문의 : 건강증진과 치매관리팀 변지연 ☎041-930-6876",
,,,,정신건강증진사업,보령시보건소 정신건강증진사업은 어떤종류가 있어요?,"보령시보건소 정신건강증진사업 프로그램 알려줘
보령시보건소 정신건강증진사업  중증정신질환자 지역사회 통합에 대해 알려줘
보령시보건소 중독예방사업에 대해 알려줘","시민 정신건강증진
사업기간 : 연중
대     상 : 지역주민
내     용
정신건강 인식개선을 위한 캠페인 및 정신건강교육
지역 내 기관과 연계한 정신건강문제 조기발견 및 조기개입
정신건강 취약계층 관리를 위한 정신건강문제 선별검사
아동청소년 정신건강사업
청장년 및 노인 정신건강 지원
담당부서 : 건강증진과 정신건강팀 송미현 041-930-5978


중증정신질환자 지역사회 통합
사업기간 : 연중
대     상 : 지역주민
내     용
병의원, 학교 등과 연계한 초발정신질환자 발견 및 지원
중증, 만성질환자 사례관리 및 지원
정신장애인 동료지원가 활동지원『회복과정을 경험한 정신장애인이 다른 동료 정신장애인의 회복을 돕고 지지하는 활동』
정신건강심사위원회 운영
담당부서 : 건강증진과 정신건강팀 백대현 041-930-5992


중독예방사업
사업기간 : 연중
대     상 : 지역주민
내 용
스마트폰(SNS, 게임) 중독 예방교육
청소년 음주예방교육
청장년층 음주폐해 예방교육 및 치료개입
취약계층대상 알코올중독 예방사업
담당부서 : 건강증진과 정신건강팀 송미현 041-930-5978",
,,,,모자보건사업,보령시보건소 모자보건사업은 어떤 종류가 있어요?,"보령시보건소 모자보건사업 중가임기 여성(신혼부부) 임신 전 건강증진 사업에 대해 설명해줘

보령시보건소 모자보건사업 중 건강관리의 날 운영에 대해 설명해줘

보령시보건소 모자보건사업 출산준비교실 운영에 대해 설명해줘
보령시보건소 모자보건사업 중 저소득층 기저귀·조제분유 지원사업에 대해 설명해줘
보령시보건소 모자보건사업 중 산모신생아 건강관리 지원사업에 대해 설명해줘
","가임기 여성(신혼부부) 임신 전 건강증진 사업
기간 :연중
장소 : 보건소 1층 임산부 관리실
대상 :보령시에 주소를 둔 가임기여성, 남성
검진항목:콜레스테롤, 혈액형검사, B형간염검사, 빈혈검사, AIDS검사, 풍진검사 등
내용 : 건강검진, 풍진예방접종, 엽산제 지원(3개월분) 및 임신테스트기 지원(1회)
비용 : 무료(신분증 지참)
문의 : 보건소 모자보건팀 황영숙 930-6861
건강관리의 날 운영
일시: 매주 수요일 실시 (09:00 ~ 18:00)
매월 넷째주 토요일 (09:00 ~ 12:00 직장여성의날 운영)
장소 : 보건소 임산부 관리실
대상 : 가임기 여성 및 임산부 (보령시 주소를 둔 임산부)
내용
가임기 여성 건강검진 및 엽산제 지원
임신부 등록 및 기초검사(체중, 혈압, 당·단백뇨 등)
임신부 영양제 및 출산용품 지원(엽산제, 철분제, 출산용품)
의뢰서 발급(임부초음파, 태아기형아 검사)
임산부 안전벨트 지원
유축기 대여
문의 : 보건소 모자보건팀 황영숙 930-6861
출산준비교실 운영
기간:3, ,6 ,9, 11월 (분기별 1회/ 회별 5차 시)
장소:보건소 회의실 2층
대상 : 20주 이상 임산부 및 예비아빠
내용
임신과 출산 자연분만법 등 단계별 교육
모유수유의 성공적 준비 등
부부가 함께하는 출산준비 교육
문의 : 보건소 모자보건팀 최나영 930-6862
저소득층 기저귀·조제분유 지원사업
기간 : 연중
대상
기저귀 : 기초생활보장·차상위계층·한부모가족 자격보유 및 건강보험기준 중위 소득 80%이하의 장애인 가구 및 다자녀(2인 이상)가구의 0∼24개월 영아
조제분유 : 산모가 질병·사망으로 모유수유가 불가능한 경우
내용
기저귀 : 정액 월 64천원
조제분유 : 정액 월 86천원
구비서류 : 자격확인서(기초생활보장, 차상위계층, 한부모가구), 주민등록등본, 건강보험카드, 건강보험납부확인서
문의 : 보건소 모자보건팀 황영숙 930-6861
산모신생아 건강관리 지원사업
기간:연중
대상 :보령시에 주소를 둔 모든 출산가정
내용
산모신생아 건강관리사가 일정기간 출산가정을 방문하여 산후관리 및 신생아 건강관리 등 서비스 제공 ※ 본인부담금 90%지원(최대 40만원)
구비서류 : 주민등록등본, 건강보험 자격확인서, 건강보험료 납부확인서 각 1부
문의 : 보건소 모자보건팀 황영숙 930-6861",
,,,,아토피천식예방사업,보령시보건소 아토피천식예방사업에 대해 알려주세요,"아토피ㆍ천식  환아관리 및 의료비지원 안내해주세요

","아토피ㆍ천식  환아관리 및 의료비지원 안내
아토피 환아 보습제 지원
신청대상 : 아토피 피부염으로 진단 받은 만 12세 이하 환아
구비서류 : 주민등록등본, 아토피 질병 코드가 들어간 진단서 또는 소견서(L20, H21.4, H26.7 등)
아토피 · 천식 환아 의료비 지원
신청대상 : 기준 중위소득 80% 이하 가구의 만 12세 이하 환아
내 용 : 연 20만원까지 지원(의료비 및 약제비)
구비서류
주민등록등본
진료비 및 약제비 영수증
처방전
진료비 세부내역서
건강보험자격확인서, 건강보험납부확인서
통장사본
질병코드가 포함된 진단서나 소견서(L20, H21.4, H26.7, J45, E04.1 등)
문 의 : 건강증진과 모자보건팀 최나영 041-930-6862",
,,,,영양플러스사업,보령시보건소 영양플러스사업에 대해 알려주세요,임산부‧영유아 영양플러스 사업에 대해 설명해줘,"임산부‧영유아 영양플러스 사업
모집시기: 3, 6, 9, 12월(년 4회)
신청대상 : 기준 중위소득 80% 이하의 영유아 및 임산부
지원기준
무료대상자(100% 지원) : 기준 중위소득 65% 이하인 자
자부담대상자(90% 지원) : 기준 중위소득 65~80% 이하인 자(10% 본인부담)
선정기준 : 빈혈, 저체중, 성장부진, 영양섭취상태 불량 중 한 가지 이상의 영양위험요인 보유자
지원내용
교육 및 상담 : 월 1회 이상 참여 (단, 3회 이상 정기교육 불참 및 자부담 미납 시 식품 지원 중단)
가정방문 상담을 통해 영양관리 상태 점검 및 영양지도
식품패키지 보충식품 제공(월 2회)/최소 6개월~최대 1년동안 지원
구비서류
주민등록등본
건강보험자격확인서
건강보험 납부확인서
문 의 : 건강증진과 모자보건팀 이경선 041-930-6864",
